headword,type,cefr,meaning,ipa,example,image_link,topic
a,determiner,A1,used before a noun to refer to a single thing or person that has not been mentioned before,/?/,I saw a cat.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
a.m./A.M./am/AM,adverb,A1,between midnight and midday (ante meridiem),/?e? 'em/,The meeting is at 10 a.m.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
abandon,verb,B1,"to leave somebody, especially somebody you are responsible for, with no intention of returning",/?'b?d?n/,The baby had been abandoned by its mother.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
abandoned,adjective,B2,"left and no longer wanted, used or needed",/?'b?d?nd/,There was an abandoned car by the road.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
ability,noun,A2,the fact that somebody/something is able to do something,/?'b?l?ti/,He has the ability to do the job.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
able,adjective,B1,"to have the skill, intelligence, opportunity, etc. needed to do something",/'e?bl/,Are you able to come tomorrow?,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
abnormal,adjective,B1,"different from what is usual or expected, especially in a way that worries somebody or is harmful or not wanted",/?'n??ml/,They noted abnormal levels of radioactivity.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
abnormally,adverb,B2,"in a way that is different from what is usual or expected, especially in a way that worries somebody or is harmful or not wanted",/?'n??m?li/,The patient's heart rate was abnormally high.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
aboard,adverb,B1,"on or into a ship, train, plane, bus, etc.",/?'b??d/,Welcome aboard flight BA123.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
abolish,verb,B2,"to officially end a law, a system or an institution",/?'b?l??/,Slavery was abolished in the US in 1865.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
aboriginal,adjective,B2,relating to the original people living in a country before other people came,/???'r?d??nl/,Aboriginal art is famous worldwide.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
aborigine,noun,B1,a member of the original people living in Australia,/???'r?d??ni/,The museum displayed tools used by the Aborigines.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
about,adverb,A1,a little more or less than; approximately,/?'ba?t/,It costs about $10.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
about,preposition,A1,on the subject of somebody/something; connected with somebody/something,/?'ba?t/,Tell me about your holiday.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
above,adjective,B1,"mentioned or printed previously in a letter, book, etc.",/?'b?v/,Please write to the above address.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
above,adverb,A1,at or to a higher place or position,/?'b?v/,The birds were flying high above.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
above,preposition,A1,in or to a higher position than somebody/something,/?'b?v/,The sun rose above the horizon.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
abroad,adverb,A2,in or to a foreign country or countries,/?'br??d/,She often travels abroad for work.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
abruptly,adverb,B2,in a sudden and complete way,/?'br?ptli/,The meeting ended abruptly.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
absence,noun,B1,the state of not being present,/'?s?ns/,His absence was noted at the meeting.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
absent,adjective,B1,not present,/'?s?nt/,He was absent from work.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
absentee,noun,B2,someone who is absent from work or school,/'?s?nti/,The company had a high rate of absenteeism.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
absolute,adjective,B1,complete and without any exceptions,/'?s?lu?t/,This is an absolute necessity.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
absolutely,adverb,B1,completely,/'?s?lu?tli/,I absolutely agree with you.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
absorb,verb,B1,to take in and understand something,/?b's??b/,The students absorbed the new information.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
abstract,adjective,B1,not based on practical experience or observation,/'?str?t/,The abstract concept was difficult to understand.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
absurd,adjective,B2,unreasonable or illogical,/?b's??d/,The idea was considered absurd.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
abundance,noun,B1,a large amount of something,/?'b?nd?ns/,There was an abundance of food.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
abundant,adjective,B1,plentiful,/?'b?nd?nt/,The area was abundant in natural resources.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
abuse,noun,B2,the use of power or authority in a cruel or harmful way,/?'bju?s/,The report detailed instances of abuse.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
academic,adjective,B1,relating to study or education,/?'k??m?k/,He is an academic expert in his field.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
academy,noun,B1,an institution for learning,/?'k??mi/,She studied at a music academy.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,fruit
